рубрика,исполнитель,песня,имя,ссылка,доп аккорды
русская поп-музыка,агутин,ай-ай-ай,леонид,https://amdm.ru/akkordi/leonid_agutin/99212/ay_yay_yay/,
русская поп-музыка,агутин,на сиреневой луне,леонид,https://amdm.ru/akkordi/leonid_agutin/10209/na_sirenevoy_lune/,
русский рок,аквариум,город золотой,,https://amdm.ru/akkordi/akvarium/13634/gorod_zolotoy/,
русский рок,аквариум,дубровский,,https://amdm.ru/akkordi/akvarium/14140/dubrovskiy/,
русский рок,аквариум,ну-ка мечи стаканы на стол,,"https://amdm.ru/akkordi/akvarium/90920/stakany/#:~:text=%D0%9F%D1%80%D0%B8%D0%BF%D0%B5%D0%B2%3A%20C%20%D0%9D%D1%83%2D%D0%BA%D0%B0%2C,C%20%D0%AF%20%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D1%8E%2C%20%D1%87%D1%82%D0%BE%20%D0%B1%D1%83%D0%B4%D1%83!",
русский рок,аквариум ,рок-н-ролл мертв (а я ещё нет),,https://amdm.ru/akkordi/akvarium/89598/rok_n_roll_mertv/,
русский рок,алиса,небо славян,,https://amdm.ru/akkordi/alisa/91018/nebo_slavyan/,
русская поп-музыка,аллегрова,младший лейтенант,ирина,https://amdm.ru/akkordi/allegrova_irina/144650/mladshiy_leytenant/,
русская поп-музыка,аллегрова ,шальная императрица ,ирина,https://amdm.ru/akkordi/irina_alegrova/116636/imperatrica/,
русская поп-музыка,анциферова,ищу тебя (всегда быть рядом не могут люди),татьяна,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/15334/vsegda_bit_ryadom_kf_31_iynya/,
русский рок,ария,я свободен,,https://amdm.ru/akkordi/valerii_kipelov/93132/ya_svoboden/,
русский рок,Ария ,Беспечный ангел ,,https://amdm.ru/akkordi/aria/4440/bespechniy_angel/,
русский рок,Баста,Сансара ,,https://amdm.ru/akkordi/basta/159636/sansara/,
русская поп-музыка,белорусских,мокрые кросы,тима,https://amdm.ru/akkordi/tima_belorusskih/165225/mokrie_krossi/,
русская поп-музыка,белорусских,незабудка,тима,https://amdm.ru/akkordi/tima_belorusskih/166136/nezabudka/,
советские песни,бернес,с чего начинается родина,марк,"https://amdm.ru/akkordi/bernes_mark/128321/s_chego_nachinaetsya_rodina/#:~:text=Am%20E7%20Am%20Dm6%20%D0%A1,Dm6%20%D0%A1%20%D1%87%D0%B5%D0%B3%D0%BE%20%D0%BD%D0%B0%D1%87%D0%B8%D0%BD%D0%B0%D0%B5%D1%82%D1%81%D1%8F%20%D0%A0%D0%BE%D0%B4%D0%B8%D0%BD%D0%B0%3F",
советские песни,бернес,тёмная ночь,марк,https://amdm.ru/akkordi/pesni_iz_kino_i_multfilmov/14579/temnaya_noch_mark_bernes_kf_dva_boyca/,
русская поп-музыка,билан,мечтатели,дима,https://amdm.ru/akkordi/dima_bilan/112338/mechtateli/,
русская поп-музыка,билан,невозможное возможно,дима,https://amdm.ru/akkordi/bilan_dima/91825/nevozmozhnoe_vozmozhno/,
русская поп-музыка,билан,believe me ,дима,https://amdm.ru/akkordi/dima_bilan/92859/belive_me/,
зарубежное,битлз,all my loving,,https://amdm.ru/akkordi/beatles/784/all_my_loving/,
зарубежное,битлз,help,,https://amdm.ru/akkordi/beatles/4951/help/,
